store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
1,A,1,2/5/2010,24924.5,FALSE,5.727777778,0.679450839,8.106
1,A,1,3/5/2010,21827.9,FALSE,8.055555556,0.693451964,8.106
1,A,1,4/2/2010,57258.43,FALSE,16.81666667,0.718284149,7.808
1,A,1,5/7/2010,17413.94,FALSE,22.52777778,0.748928121,7.808
1,A,1,6/4/2010,17558.09,FALSE,27.05,0.714585738,7.808
1,A,1,7/2/2010,16333.14,FALSE,27.17222222,0.70507554,7.787
1,A,1,8/6/2010,17508.41,FALSE,30.64444444,0.693980309,7.787
1,A,1,9/3/2010,16241.78,FALSE,27.33888889,0.6807717,7.787
1,A,1,10/1/2010,20094.19,FALSE,22.16111111,0.687640176,7.838
1,A,1,11/5/2010,34238.88,FALSE,14.85555556,0.710358984,7.838
1,A,1,12/3/2010,22517.56,FALSE,9.594444444,0.715378255,7.838
1,A,1,1/7/2011,15984.24,FALSE,9.038888889,0.786176398,7.742
1,A,2,2/5/2010,50605.27,FALSE,5.727777778,0.679450839,8.106
1,A,2,3/5/2010,48397.98,FALSE,8.055555556,0.693451964,8.106
1,A,2,4/2/2010,47450.5,FALSE,16.81666667,0.718284149,7.808
1,A,2,5/7/2010,47903.01,FALSE,22.52777778,0.748928121,7.808
1,A,2,6/4/2010,48754.47,FALSE,27.05,0.714585738,7.808
1,A,2,7/2/2010,47077.72,FALSE,27.17222222,0.70507554,7.787
1,A,2,8/6/2010,50031.73,FALSE,30.64444444,0.693980309,7.787
1,A,2,9/3/2010,49015.05,FALSE,27.33888889,0.6807717,7.787
1,A,2,10/1/2010,45829.02,FALSE,22.16111111,0.687640176,7.838
1,A,2,11/5/2010,46381.43,FALSE,14.85555556,0.710358984,7.838
1,A,2,12/3/2010,44405.02,FALSE,9.594444444,0.715378255,7.838
1,A,2,1/7/2011,43202.29,FALSE,9.038888889,0.786176398,7.742
1,A,3,2/5/2010,13740.12,FALSE,5.727777778,0.679450839,8.106
1,A,3,3/5/2010,12275.58,FALSE,8.055555556,0.693451964,8.106
1,A,3,4/2/2010,11157.08,FALSE,16.81666667,0.718284149,7.808
1,A,3,5/7/2010,9372.8,FALSE,22.52777778,0.748928121,7.808
1,A,3,6/4/2010,8001.41,FALSE,27.05,0.714585738,7.808
1,A,3,7/2/2010,7857.88,FALSE,27.17222222,0.70507554,7.787
1,A,3,8/6/2010,26719.02,FALSE,30.64444444,0.693980309,7.787
1,A,3,9/3/2010,19081.8,FALSE,27.33888889,0.6807717,7.787
1,A,3,10/1/2010,9775.17,FALSE,22.16111111,0.687640176,7.838
1,A,3,11/5/2010,9825.22,FALSE,14.85555556,0.710358984,7.838
1,A,3,12/3/2010,10856.85,FALSE,9.594444444,0.715378255,7.838
1,A,3,1/7/2011,15808.15,FALSE,9.038888889,0.786176398,7.742
1,A,4,2/5/2010,39954.04,FALSE,5.727777778,0.679450839,8.106
1,A,4,3/5/2010,38086.19,FALSE,8.055555556,0.693451964,8.106
1,A,4,4/2/2010,37809.49,FALSE,16.81666667,0.718284149,7.808
1,A,4,5/7/2010,37168.34,FALSE,22.52777778,0.748928121,7.808
1,A,4,6/4/2010,40548.19,FALSE,27.05,0.714585738,7.808
1,A,4,7/2/2010,39773.71,FALSE,27.17222222,0.70507554,7.787
1,A,4,8/6/2010,40973.88,FALSE,30.64444444,0.693980309,7.787
1,A,4,9/3/2010,38321.88,FALSE,27.33888889,0.6807717,7.787
1,A,4,10/1/2010,34912.45,FALSE,22.16111111,0.687640176,7.838
1,A,4,11/5/2010,37980.55,FALSE,14.85555556,0.710358984,7.838
